LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;40;86;0,00;2;;id3679color86.jpg;;U;PART;3679;;;0;;;Turntable 2 x 2 Plate, Top;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;40;3;0,00;2;;id3680color3.jpg;;U;PART;3680;;;0;;;Turntable 2 x 2 Plate, Base;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;26;3;0,00;2;;id3795color3.jpg;;U;PART;3795;;;0;;;Plate 2 x 6;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;28;85;0,00;8;;id4073color85.jpg;;U;PART;4073;;;0;;;Plate, Round 1 x 1;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;43;86;0,00;6;;Not Available;;U;PART;4624;;;0;;;Wheel  8mm D. x 6mm;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;21;85;0,00;2;;id4742color85.jpg;;U;PART;4742;;;0;;;Cone 4 x 4 x 2 Hollow No Studs;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;27;11;0,00;2;;id6157color11.jpg;;U;PART;6157;;;0;;;Plate, Modified 2 x 2 with Wheels Holder Wide and Hole;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;8;85;0,00;2;;id6222color85.jpg;;U;PART;6222;;;0;;;Brick, Round 4 x 4 with 4 Side Pin Holes and Center Axle Hole;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;134;85;0,00;2;;id6587color85.jpg;;U;PART;6587;;;0;;;Technic, Axle  3L with Stud;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;111;11;0,00;4;;id3139color11.jpg;;U;PART;3139;;;0;;;Tire 14mm D. x 4mm Smooth Small Single;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;133;85;0,00;4;;id32530color85.jpg;;U;PART;32530;;;0;;;Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes &#40Double on Top&#41;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;72;11;0,00;2;;id30663color11.jpg;;U;PART;30663;;;0;;;Vehicle, Steering Wheel Small, 2 Studs Diameter;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;27;11;0,00;2;;id3839bcolor11.jpg;;U;PART;3839b;;;0;;;Plate, Modified 1 x 2 with Bar Handles - Flat Ends, Low Attachment;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;67;0;0,00;2;;Not Available;;U;MINIFIG;cty0052;;;0;;;Construction Worker - Orange Zipper, Safety Stripes, Orange Arms, Orange Legs, Red Construction Helmet;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;40;3;0,00;2;;id3680c02color3.jpg;;U;PART;3680c02;;;0;;;Turntable 2 x 2 Plate with Light Bluish Gray Top &#403680 / 3679&#41;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;532;86;0,00;4;;Not Available;;U;PART;4624c01;;;0;;;Wheel 8mm D. x 6mm with Black Tire 14mm D. x 4mm Smooth Small Single &#404624 / 3139&#41;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;135;3;0,00;2;;id32064bcolor3.jpg;;U;PART;32064b;;;0;;;Technic, Brick 1 x 2 with Axle Hole &#40x Shape&#41;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
;;135;3;0,00;2;;id32064color3.jpg;;U;PART;32064;;;0;;;Technic, Brick 1 x 2 with Axle Hole;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 5610-1;A;1;
