LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;417;68;0,00;1;;id3437color68.jpg;;U;PART;3437;;;0;;;Duplo, Brick 2 x 2;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
;;487;156;0,00;1;;id40666color156.jpg;;U;PART;40666;;;0;;;Duplo, Plate 2 x 4 x 1/2 &#40Thick&#41;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
;;417;34;0,00;2;;Not Available;;U;PART;6474;;;0;;;Duplo, Brick 2 x 2 x 1 1/2 Slope 45;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
;;167;156;0,00;1;;Not Available;;U;PART;93150;;;0;;;Duplo Slide Straight with Two Studs at Top End;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
;;487;1;0,00;2;;id98233color1.jpg;;U;PART;98233;;;0;;;Duplo, Plate 2 x 6;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
;;487;36;0,00;1;;id98233color36.jpg;;U;PART;98233;;;0;;;Duplo, Plate 2 x 6;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
;;487;153;0,00;1;;Not Available;;U;PART;98233;;;0;;;Duplo, Plate 2 x 6;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
;;417;4;0,00;1;;id98223color4.jpg;;U;PART;98223;;;0;;;Duplo, Brick 2 x 4 Slope Curved Double;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
;;417;34;0,00;2;;id98223color34.jpg;;U;PART;98223;;;0;;;Duplo, Brick 2 x 4 Slope Curved Double;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
;;417;3;0,00;1;;Not Available;;U;PART;98252;;;0;;;Duplo, Brick 2 x 3 Slope Curved Inverted;;;;;;;;;;;;;;;;;;;;;;;;;;Joseph 10863-1;A;1;
