LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;583;3;0,00;4;;id2419color3.jpg;;U;PART;2419;;;0;;;Wedge, Plate 3 x 6 Cut Corners;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;26;3;0,00;4;;id2420color3.jpg;;U;PART;2420;;;0;;;Plate 2 x 2 Corner;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;38;7;0,00;2;;id2432color7.jpg;;U;PART;2432;;;0;;;Tile, Modified 1 x 2 with Bar Handle;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;32;3;0,00;6;;id2449color3.jpg;;U;PART;2449;;;0;;;Slope, Inverted 75 2 x 1 x 3;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;5;85;0,00;2;;id2456color85.jpg;;U;PART;2456;;;0;;;Brick 2 x 6;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;5;85;0,00;2;;id2465color85.jpg;;U;PART;2465;;;0;;;Brick 1 x 16;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;27;5;0,00;4;;id2540color5.jpg;;U;PART;2540;;;0;;;Plate, Modified 1 x 2 with Bar Handle on Side - Free Ends;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;7;3;0,00;8;;id2877color3.jpg;;U;PART;2877;;;0;;;Brick, Modified 1 x 2 with Grille / Fluted Profile;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;5;5;0,00;2;;id3001color5.jpg;;U;PART;3001;;;0;;;Brick 2 x 4;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;5;88;0,00;3;;id3002color88.jpg;;U;PART;3002;;;0;;;Brick 2 x 3;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;5;3;0,00;8;;id3009color3.jpg;;U;PART;3009;;;0;;;Brick 1 x 6;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;5;11;0,00;2;;id3009color11.jpg;;U;PART;3009;;;0;;;Brick 1 x 6;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;5;7;0,00;4;;id3010color7.jpg;;U;PART;3010;;;0;;;Brick 1 x 4;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;26;6;0,00;1;;id3020color6.jpg;;U;PART;3020;;;0;;;Plate 2 x 4;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;26;3;0,00;4;;id3023color3.jpg;;U;PART;3023;;;0;;;Plate 1 x 2;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;26;7;0,00;4;;id3023color7.jpg;;U;PART;3023;;;0;;;Plate 1 x 2;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;26;12;0,00;2;;id3023color12.jpg;;U;PART;3023;;;0;;;Plate 1 x 2;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;26;98;0,00;6;;id3024color98.jpg;;U;PART;3024;;;0;;;Plate 1 x 1;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
;;26;3;0,00;2;;id3034color3.jpg;;U;PART;3034;;;0;;;Plate 2 x 8;;;;;;;;;;;;;;;;;;;;;;;;;;Blackbox 4202-1;B;1;
