LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;26;12;0,00;3;;id3024color12.jpg;;U;PART;3024;;;0;;;Plate 1 x 1;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;139;2;0,00;2;;id32002color2.jpg;;U;PART;32002;;;0;;;Technic, Pin 3/4;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;4;0,00;2;;id32009color4.jpg;;U;PART;32009;;;0;;;Technic, Liftarm, Modified Bent Thick 1 x 11.5 Double;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;1;0,00;6;;id32013color1.jpg;;U;PART;32013;;;0;;;Technic, Axle and Pin Connector Angled #1;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;7;0,00;1;;id32013color7.jpg;;U;PART;32013;;;0;;;Technic, Axle and Pin Connector Angled #1;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;11;0,00;6;;id32013color11.jpg;;U;PART;32013;;;0;;;Technic, Axle and Pin Connector Angled #1;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;11;0,00;2;;id32015color11.jpg;;U;PART;32015;;;0;;;Technic, Axle and Pin Connector Angled #5 - 112.5 degrees;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;11;0,00;2;;id32016color11.jpg;;U;PART;32016;;;0;;;Technic, Axle and Pin Connector Angled #3 - 157.5 degrees;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;11;0,00;1;;id32017color11.jpg;;U;PART;32017;;;0;;;Technic, Liftarm Thin 1 x 5;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;4;0,00;2;;id32034color4.jpg;;U;PART;32034;;;0;;;Technic, Axle and Pin Connector Angled #2 - 180 degrees;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;11;0,00;1;;id32034color11.jpg;;U;PART;32034;;;0;;;Technic, Axle and Pin Connector Angled #2 - 180 degrees;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;11;0,00;2;;id32039color11.jpg;;U;PART;32039;;;0;;;Technic, Axle Connector with Axle Hole;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;86;0,00;3;;id32039color86.jpg;;U;PART;32039;;;0;;;Technic, Axle Connector with Axle Hole;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;139;86;0,00;9;;id32054color86.jpg;;U;PART;32054;;;0;;;Technic, Pin 3L with Friction Ridges and Stop Bush;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;11;0,00;2;;id32056color11.jpg;;U;PART;32056;;;0;;;Technic, Liftarm, Modified Bent Thin L-Shape 3 x 3;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;134;5;0,00;23;;id32062color5.jpg;;U;PART;32062;;;0;;;Technic, Axle  2L Notched;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;134;86;0,00;13;;id32073color86.jpg;;U;PART;32073;;;0;;;Technic, Axle  5L;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;4;0,00;10;;id32140color4.jpg;;U;PART;32140;;;0;;;Technic, Liftarm, Modified Bent Thick L-Shape 2 x 4;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;7;0,00;3;;id32140color7.jpg;;U;PART;32140;;;0;;;Technic, Liftarm, Modified Bent Thick L-Shape 2 x 4;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;4;0,00;1;;id32348color4.jpg;;U;PART;32348;;;0;;;Technic, Liftarm, Modified Bent Thick 1 x 7 &#404 - 4&#41;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;134;11;0,00;3;;id3705color11.jpg;;U;PART;3705;;;0;;;Technic, Axle  4L;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;134;5;0,00;2;;id3706color5.jpg;;U;PART;3706;;;0;;;Technic, Axle  6L;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;36;5;0,00;3;;id3713color5.jpg;;U;PART;3713;;;0;;;Technic Bush;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;134;2;0,00;18;;id3749color2.jpg;;U;PART;3749;;;0;;;Technic, Axle  1L with Pin without Friction Ridges;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;36;3;0,00;3;;id4265ccolor3.jpg;;U;PART;4265c;;;0;;;Technic Bush 1/2 Smooth;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;36;86;0,00;7;;id4265ccolor86.jpg;;U;PART;4265c;;;0;;;Technic Bush 1/2 Smooth;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;139;86;0,00;14;;id4274color86.jpg;;U;PART;4274;;;0;;;Technic, Pin 1/2 without Friction Ridges;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;1;0,00;2;;id44color1.jpg;;U;PART;44;;;0;;;Technic, Axle and Pin Connector Toggle Joint Smooth;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;139;11;0,00;97;;id2780color11.jpg;;U;PART;2780;;;0;;;Technic, Pin with Friction Ridges;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;11;0,00;2;;id32249color11.jpg;;U;PART;32249;;;0;;;Technic, Liftarm, Modified L-Shape Quarter Ellipse Thin 3 x 3;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;1;0,00;2;;id32526color1.jpg;;U;PART;32526;;;0;;;Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;4;0,00;2;;id32526color4.jpg;;U;PART;32526;;;0;;;Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;137;11;0,00;3;;id32526color11.jpg;;U;PART;32526;;;0;;;Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;11;0,00;2;;id32184color11.jpg;;U;PART;32184;;;0;;;Technic, Axle and Pin Connector Perpendicular 3L with Center Pin Hole;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;86;0,00;4;;id32184color86.jpg;;U;PART;32184;;;0;;;Technic, Axle and Pin Connector Perpendicular 3L with Center Pin Hole;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;134;86;0,00;10;;id4519color86.jpg;;U;PART;4519;;;0;;;Technic, Axle  3L;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;4;0,00;9;;id6536color4.jpg;;U;PART;6536;;;0;;;Technic, Axle and Pin Connector Perpendicular;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;11;0,00;9;;id6536color11.jpg;;U;PART;6536;;;0;;;Technic, Axle and Pin Connector Perpendicular;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;133;86;0,00;4;;id6536color86.jpg;;U;PART;6536;;;0;;;Technic, Axle and Pin Connector Perpendicular;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
;;134;85;0,00;2;;id6553color85.jpg;;U;PART;6553;;;0;;;Technic, Axle  2L with Reverser Handle Axle Connector;;;;;;;;;;;;;;;;;;;;;;;;;; 42062-1;;;
