ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
30179;2;Dark Bluish Gray;Penta Tiroir GrisMetal;B;32
57518;4;Dark Bluish Gray;Penta Tiroir GrisMetal;B;32
57894;9;White;Penta Tiroir GrisMetal;B;32
57894;6;Dark Bluish Gray;Penta Tiroir GrisMetal;B;32
60596;1;White;Penta Tiroir GrisMetal;B;32
60596;2;Tan;Penta Tiroir GrisMetal;B;32
60596;5;Red;Penta Tiroir GrisMetal;B;32
2352b;1;Pink;Penta Tiroir GrisMetal;B;33
2352b;9;Yellow;Penta Tiroir GrisMetal;B;33
2352b;1;Red;Penta Tiroir GrisMetal;B;33
30223;2;Brown;Penta Tiroir GrisMetal;B;33
3644;2;White;Penta Tiroir GrisMetal;B;33
3644;1;Black;Penta Tiroir GrisMetal;B;33
3644;3;Trans-Clear;Penta Tiroir GrisMetal;B;33
3644;1;Yellow;Penta Tiroir GrisMetal;B;33
4071;2;Black;Penta Tiroir GrisMetal;B;33
4071;1;Light Gray;Penta Tiroir GrisMetal;B;33
4130;1;Pink;Penta Tiroir GrisMetal;B;33
4130;7;Yellow;Penta Tiroir GrisMetal;B;33
4130;3;Red;Penta Tiroir GrisMetal;B;33
4611;2;Dark Gray;Penta Tiroir GrisMetal;B;33
4611;2;Black;Penta Tiroir GrisMetal;B;33
4741;2;Red;Penta Tiroir GrisMetal;B;33
600;1;White;Penta Tiroir GrisMetal;B;33
60806;4;White;Penta Tiroir GrisMetal;B;33
6235;3;Red;Penta Tiroir GrisMetal;B;33
604c01;8;Red;Penta Tiroir GrisMetal;B;34
604c01;8;Red;Penta Tiroir GrisMetal;B;34
453bc01;2;White;Penta Tiroir GrisMetal;B;35
453bc01;6;Red;Penta Tiroir GrisMetal;B;35
645;3;White;Penta Tiroir GrisMetal;B;4
645;1;Red;Penta Tiroir GrisMetal;B;4
645bc01;1;White;Penta Tiroir GrisMetal;B;4
645bc01;4;White;Penta Tiroir GrisMetal;B;4
645bc01;9;Red;Penta Tiroir GrisMetal;B;4
645bc01;10;Red;Penta Tiroir GrisMetal;B;4
646;1;White;Penta Tiroir GrisMetal;B;5
646;4;Red;Penta Tiroir GrisMetal;B;5
646bc01;2;White;Penta Tiroir GrisMetal;B;5
646bc01;2;White;Penta Tiroir GrisMetal;B;5
646bc01;4;Red;Penta Tiroir GrisMetal;B;5
2554;4;Brown;Penta Tiroir GrisMetal;B;6
2584;4;Black;Penta Tiroir GrisMetal;B;6
2584;1;Red;Penta Tiroir GrisMetal;B;6
2584;1;Light Gray;Penta Tiroir GrisMetal;B;6
2584;7;Light Gray;Penta Tiroir GrisMetal;B;6
4209;1;White;Penta Tiroir GrisMetal;B;6
4209;1;Black;Penta Tiroir GrisMetal;B;6
4209;5;Red;Penta Tiroir GrisMetal;B;6
4209;1;Brown;Penta Tiroir GrisMetal;B;6
88646;6;Black;Penta Tiroir GrisMetal;B;7
88646;1;Orange;Penta Tiroir GrisMetal;B;7
30140;5;Brown;Penta Tiroir GrisMetal;B;8
30180;2;White;Penta Tiroir GrisMetal;B;9
30180;3;Black;Penta Tiroir GrisMetal;B;9
30180;6;Light Gray;Penta Tiroir GrisMetal;B;9
2593;2;Yellow;Penta Tiroir GrisMetal;C;1
680c01;3;Black;Penta Tiroir GrisMetal;C;1
x1681;7;Black;Penta Tiroir GrisMetal;C;1
x1681;1;Red;Penta Tiroir GrisMetal;C;1
x939;1;Black;Penta Tiroir GrisMetal;C;1
6578;4;Black;Penta Tiroir GrisMetal;C;10
6594;3;Black;Penta Tiroir GrisMetal;C;11
2695;1;White;Penta Tiroir GrisMetal;C;12
2695;5;Yellow;Penta Tiroir GrisMetal;C;12
2695;1;Dark Turquoise;Penta Tiroir GrisMetal;C;12
2695;1;Light Gray;Penta Tiroir GrisMetal;C;12
2696;5;Black;Penta Tiroir GrisMetal;C;12
41531;4;White;Penta Tiroir GrisMetal;C;13
41531;2;Red;Penta Tiroir GrisMetal;C;13
41531;2;Light Bluish Gray;Penta Tiroir GrisMetal;C;13
22253;3;Metallic Silver;Penta Tiroir GrisMetal;C;14
2994;1;Yellow;Penta Tiroir GrisMetal;C;14
41896;5;Light Bluish Gray;Penta Tiroir GrisMetal;C;14
56898;4;Black;Penta Tiroir GrisMetal;C;14
56904;1;White;Penta Tiroir GrisMetal;C;14
56904;4;Light Bluish Gray;Penta Tiroir GrisMetal;C;14
64711;2;Dark Bluish Gray;Penta Tiroir GrisMetal;C;14
64712;1;Black;Penta Tiroir GrisMetal;C;14
4266pb02;1;Red;Penta Tiroir GrisMetal;C;15
4266pb04;3;Black;Penta Tiroir GrisMetal;C;15
56145;1;White;Penta Tiroir GrisMetal;C;16
56145;31;Black;Penta Tiroir GrisMetal;C;16
56145;8;Pearl Gold;Penta Tiroir GrisMetal;C;16
56145;3;Red;Penta Tiroir GrisMetal;C;16
56145;10;Light Bluish Gray;Penta Tiroir GrisMetal;C;16
30029;4;Black;Penta Tiroir GrisMetal;C;17
30248;5;Black;Penta Tiroir GrisMetal;C;17
30248;4;Dark Bluish Gray;Penta Tiroir GrisMetal;C;17
30248;1;Light Bluish Gray;Penta Tiroir GrisMetal;C;17
4212b;1;White;Penta Tiroir GrisMetal;C;17
4212b;3;Black;Penta Tiroir GrisMetal;C;17
4212b;1;Yellow;Penta Tiroir GrisMetal;C;17
4212b;3;Red;Penta Tiroir GrisMetal;C;17
52036;1;White;Penta Tiroir GrisMetal;C;17
52036;7;Dark Bluish Gray;Penta Tiroir GrisMetal;C;17
44309;1;Black;Penta Tiroir GrisMetal;C;18
2346;6;Black;Penta Tiroir GrisMetal;C;19
55978;10;Black;Penta Tiroir GrisMetal;C;2
61481;11;Black;Penta Tiroir GrisMetal;C;2
58090;15;Black;Penta Tiroir GrisMetal;C;3
64799;2;White;Penta Tiroir GrisMetal;C;3
64799;2;Black;Penta Tiroir GrisMetal;C;3
64799;1;Yellow;Penta Tiroir GrisMetal;C;3
64799;2;Light Bluish Gray;Penta Tiroir GrisMetal;C;3
56891;32;Black;Penta Tiroir GrisMetal;C;4
55981;32;Black;Penta Tiroir GrisMetal;C;5
55981;55;Light Bluish Gray;Penta Tiroir GrisMetal;C;6
41897;5;Black;Penta Tiroir GrisMetal;C;7
55976;10;Black;Penta Tiroir GrisMetal;C;7
30648;43;Black;Penta Tiroir GrisMetal;C;8
30391;9;Black;Penta Tiroir GrisMetal;C;9
2356;2;Black;Penta Tiroir GrisMetal;D;1
2356;9;Yellow;Penta Tiroir GrisMetal;D;1
2356;1;Red;Penta Tiroir GrisMetal;D;1
2456;14;Light Gray;Penta Tiroir GrisMetal;D;1
2465;8;White;Penta Tiroir GrisMetal;D;1
2465;13;Black;Penta Tiroir GrisMetal;D;1
2465;4;Red;Penta Tiroir GrisMetal;D;1
2465;1;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
2465;3;Light Gray;Penta Tiroir GrisMetal;D;1
3001;11;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
3001;38;Light Gray;Penta Tiroir GrisMetal;D;1
3002;89;Black;Penta Tiroir GrisMetal;D;1
3002;157;Red;Penta Tiroir GrisMetal;D;1
3002;162;Blue;Penta Tiroir GrisMetal;D;1
3002;4;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
3002;27;Light Gray;Penta Tiroir GrisMetal;D;1
3003;265;Black;Penta Tiroir GrisMetal;D;1
3003;463;Red;Penta Tiroir GrisMetal;D;1
3003;425;Blue;Penta Tiroir GrisMetal;D;1
3003;11;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
3003;79;Light Gray;Penta Tiroir GrisMetal;D;1
3004;7;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
3006;12;Light Gray;Penta Tiroir GrisMetal;D;1
3007;2;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
3007;8;Light Gray;Penta Tiroir GrisMetal;D;1
3008;172;White;Penta Tiroir GrisMetal;D;1
3008;12;Black;Penta Tiroir GrisMetal;D;1
3008;25;Yellow;Penta Tiroir GrisMetal;D;1
3008;58;Red;Penta Tiroir GrisMetal;D;1
3008;19;Blue;Penta Tiroir GrisMetal;D;1
3008;3;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
3008;5;Light Gray;Penta Tiroir GrisMetal;D;1
3009;118;White;Penta Tiroir GrisMetal;D;1
3009;35;Black;Penta Tiroir GrisMetal;D;1
3009;73;Yellow;Penta Tiroir GrisMetal;D;1
3009;142;Red;Penta Tiroir GrisMetal;D;1
3009;103;Blue;Penta Tiroir GrisMetal;D;1
3009;3;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
3009;18;Light Gray;Penta Tiroir GrisMetal;D;1
3010;137;White;Penta Tiroir GrisMetal;D;1
3010;82;Black;Penta Tiroir GrisMetal;D;1
3010;108;Yellow;Penta Tiroir GrisMetal;D;1
3010;138;Red;Penta Tiroir GrisMetal;D;1
3010;101;Blue;Penta Tiroir GrisMetal;D;1
3010;11;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
3010;42;Light Gray;Penta Tiroir GrisMetal;D;1
3038;1;Light Gray;Penta Tiroir GrisMetal;D;1
3038;5;Light Gray;Penta Tiroir GrisMetal;D;1
3622;68;White;Penta Tiroir GrisMetal;D;1
3622;24;Black;Penta Tiroir GrisMetal;D;1
3622;56;Yellow;Penta Tiroir GrisMetal;D;1
3622;52;Red;Penta Tiroir GrisMetal;D;1
3622;29;Blue;Penta Tiroir GrisMetal;D;1
3622;9;Light Bluish Gray;Penta Tiroir GrisMetal;D;1
3622;36;Light Gray;Penta Tiroir GrisMetal;D;1
4202;4;Red;Penta Tiroir GrisMetal;D;1
4202;3;Blue;Penta Tiroir GrisMetal;D;1
4202;2;Light Gray;Penta Tiroir GrisMetal;D;1
6111;10;White;Penta Tiroir GrisMetal;D;1
6111;4;Black;Penta Tiroir GrisMetal;D;1
6111;9;Red;Penta Tiroir GrisMetal;D;1
6111;2;Blue;Penta Tiroir GrisMetal;D;1
6111;2;Light Gray;Penta Tiroir GrisMetal;D;1
6112;13;White;Penta Tiroir GrisMetal;D;1
6112;8;Black;Penta Tiroir GrisMetal;D;1
6212;5;Black;Penta Tiroir GrisMetal;D;1
6212;10;Red;Penta Tiroir GrisMetal;D;1
6212;1;Light Gray;Penta Tiroir GrisMetal;D;1
3747a;2;Dark Gray;Penta Tiroir GrisMetal;D;10
3747a;4;Light Bluish Gray;Penta Tiroir GrisMetal;D;10
3747a;10;Light Gray;Penta Tiroir GrisMetal;D;10
3747b;12;White;Penta Tiroir GrisMetal;D;10
3747b;18;Black;Penta Tiroir GrisMetal;D;10
3747b;1;Yellow;Penta Tiroir GrisMetal;D;10
3747b;15;Red;Penta Tiroir GrisMetal;D;10
3747b;10;Blue;Penta Tiroir GrisMetal;D;10
