"LOTID";"DATEADDED";"CATEGORY";"COLOR";"PRICE";"QTY";"BULK";"IMAGE";"DESCRIPTION";"CONDITION";"ITEMTYPE";"ITEMID";"SALE";"STOCKROOM";"WEIGHT";"DATELASTSOLD";"CURRENCY";"CATEGORYNAME";"CATNAME1";"CATNAME2";"CATNAME3";"CATNAME4";"COLORNAME";"RGB";"COLORTYPE";"SUBCONDITION";"REMARKS";"TIERQTY1";"TIERPRICE1";"TIERQTY2";"TIERPRICE2";"TIERQTY3";"TIERPRICE3";"RESERVEDFOR";"RETAIN";"SUPERLOTID";"SUPERLOTQTY";"EXTDESCRIPTION";"ITEMTYPENAME";"ITEMIDNAME";"DIMENSIONX";"DIMENSIONY";"DIMENSIONZ";"BOX";"COLUMN";"ROW"
;;417;5;0,1079;1;;"Not Available";;"U";"P";3437;;;6,75;;;"Duplo, Brick";"Duplo";"Brick";;;"Red";"#B30006";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 2";2;2;1;"JoJo";"A";1
;;417;6;0,1289;1;;"Not Available";;"U";"P";3437;;;6,75;;;"Duplo, Brick";"Duplo";"Brick";;;"Green";"#00923D";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 2";2;2;1;"JoJo";"A";1
;;417;68;0,1362;1;;"Not Available";;"U";"P";3437;;;6,75;;;"Duplo, Brick";"Duplo";"Brick";;;"Dark Orange";"#B35408";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 2";2;2;1;"JoJo";"A";1
;;417;7;0,11;1;;"Not Available";;"U";"P";3437;;;6,75;;;"Duplo, Brick";"Duplo";"Brick";;;"Blue";"#0057A6";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 2";2;2;1;"JoJo";"A";1
;;417;85;0,246;1;;"Not Available";;"U";"P";3437;;;6,75;;;"Duplo, Brick";"Duplo";"Brick";;;"Dark Bluish Gray";"#595D60";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 2";2;2;1;"JoJo";"A";1
;;417;86;0,2083;1;;"Not Available";;"U";"P";3437;;;6,75;;;"Duplo, Brick";"Duplo";"Brick";;;"Light Bluish Gray";"#AFB5C7";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Brick 2 x 2";2;2;1;"JoJo";"A";1
;;487;1;0,2832;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"White";"#FFFFFF";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;11;0,256;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Black";"#212121";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;156;0,388;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Medium Azure";"#6ACEE0";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;3;0,1516;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Yellow";"#FFE001";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;34;0,1633;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Lime";"#C4E000";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;36;0,1621;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Bright Green";"#10CB31";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
;;487;4;0,1841;1;;"Not Available";;"U";"P";40666;;;7,33;;;"Duplo, Plate";"Duplo";"Plate";;;"Orange";"#FF7E14";"Solid";;;;;;;;;;;;;;"Part";"Duplo, Plate 2 x 4 x 1/2 (Thick)";2;4;"0.5";"JoJo";"A";1
