LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;999;11;0,6351;23;;id27976color11.jpg;;U;P;27976;;Y;6,22;;EUR;Slide;;;P;;Black;212121;Solid;;;;;;;;;;;;;;PART;Slide Playground 4 x 6 x 6 Straight;4.00;6.00;6.00;Casier Moyen Bleue;A;1;
;;7;8;0,1379;39;;id30136color8.jpg;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;;P;;Brown;6B3F22;Solid;;;;;;;;;;;;;;PART;Brick, Modified 1 x 2 with Log Profile;1.00;2.00;1.00;Casier Moyen Bleue;A;1;
;;7;88;0,0546;70;;id30136color88.jpg;;U;P;30136;;Y;0,69;;EUR;Brick, Modified;;;P;;Reddish Brown;82422A;Solid;;;;;;;;;;;;;;PART;Brick, Modified 1 x 2 with Log Profile;1.00;2.00;1.00;Casier Moyen Bleue;A;1;
;;1078;110;0,1592;23;;Not Available;;U;P;66828;;Y;0,43;;EUR;Felt;;;P;;Bright Light Orange;FFC700;Solid;;;;;;;;;;;;;;PART;Felt Fabric 5 x 4 Heart Thick with Square Hole;5.00;4.50;0.00;Casier Moyen Bleue;A;1;
