ITEMID;QTY;COLORNAME;BOX;ROW;COLUMN
92947;1;Tan;Casier Grand Noir;C;3
92947;3;Red;Casier Grand Noir;C;3
92947;1;Reddish Brown;Casier Grand Noir;C;3
92947;6;Light Bluish Gray;Casier Grand Noir;C;3
92947;1;Dark Brown;Casier Grand Noir;C;3
4592;43;White;Casier Grand Noir;C;4
4592;20;Yellow;Casier Grand Noir;C;4
4592;35;Red;Casier Grand Noir;C;4
4592;12;Blue;Casier Grand Noir;C;4
4592;16;Light Gray;Casier Grand Noir;C;4
4592;37;Black;Casier Grand Noir;C;4
4593;4;White;Casier Grand Noir;C;4
4593;5;Yellow;Casier Grand Noir;C;4
4593;6;Light Gray;Casier Grand Noir;C;4
4593;140;Black;Casier Grand Noir;C;4
4495a;12;Yellow;Casier Grand Noir;C;4
4495a;16;Red;Casier Grand Noir;C;4
4495a;1;Green;Casier Grand Noir;C;4
4495a;5;Blue;Casier Grand Noir;C;4
4495a;4;Pearl Gold;Casier Grand Noir;C;4
890;1;White;Casier Grand Noir;C;5
892;1;White;Casier Grand Noir;C;5
2335;1;White;Casier Grand Noir;C;5
2335;5;Yellow;Casier Grand Noir;C;5
2335;3;Red;Casier Grand Noir;C;5
2335;4;Blue;Casier Grand Noir;C;5
2335;1;Dark Gray;Casier Grand Noir;C;5
2335;4;Black;Casier Grand Noir;C;5
30258;1;White;Casier Grand Noir;C;5
30261;1;White;Casier Grand Noir;C;5
44676;6;Black;Casier Grand Noir;C;5
44676;2;Dark Bluish Gray;Casier Grand Noir;C;5
2335p01;2;White;Casier Grand Noir;C;5
2335p03;3;White;Casier Grand Noir;C;5
2335p30;1;White;Casier Grand Noir;C;5
2335pb159;1;White;Casier Grand Noir;C;5
2335px21;1;White;Casier Grand Noir;C;5
30350c;2;Dark Bluish Gray;Casier Grand Noir;C;5
6583;2;White;Casier Grand Noir;D;1
6583;5;Yellow;Casier Grand Noir;D;1
6583;3;Light Gray;Casier Grand Noir;D;1
6583;6;Dark Gray;Casier Grand Noir;D;1
6583;1;Black;Casier Grand Noir;D;1
30414;2;White;Casier Grand Noir;D;2
30414;2;Yellow;Casier Grand Noir;D;2
30414;5;Red;Casier Grand Noir;D;2
30414;8;Blue;Casier Grand Noir;D;2
30414;8;Black;Casier Grand Noir;D;2
30414;7;Dark Bluish Gray;Casier Grand Noir;D;2
30414;8;Light Bluish Gray;Casier Grand Noir;D;2
4590;16;White;Casier Grand Noir;D;3
4590;1;Red;Casier Grand Noir;D;3
4590;3;Blue;Casier Grand Noir;D;3
4590;8;Light Gray;Casier Grand Noir;D;3
4590;42;Black;Casier Grand Noir;D;3
4590;7;Dark Bluish Gray;Casier Grand Noir;D;3
2654;8;White;Casier Grand Noir;D;5
2654;5;Tan;Casier Grand Noir;D;5
2654;3;Red;Casier Grand Noir;D;5
2654;27;Light Gray;Casier Grand Noir;D;5
2654;57;Black;Casier Grand Noir;D;5
2654;1;Lime;Casier Grand Noir;D;5
2654;14;Dark Bluish Gray;Casier Grand Noir;D;5
2654;18;Light Bluish Gray;Casier Grand Noir;D;5
4873;1;White;Casier Grand Noir;E;1
4873;1;Yellow;Casier Grand Noir;E;1
4873;5;Red;Casier Grand Noir;E;1
4873;3;Light Gray;Casier Grand Noir;E;1
4873;6;Black;Casier Grand Noir;E;1
4873;1;Light Bluish Gray;Casier Grand Noir;E;1
6020;9;Brown;Casier Grand Noir;E;1
6020;1;Dark Gray;Casier Grand Noir;E;1
6020;5;Black;Casier Grand Noir;E;1
6020;1;Light Bluish Gray;Casier Grand Noir;E;1
4083;4;White;Casier Grand Noir;E;2
4083;14;Yellow;Casier Grand Noir;E;2
4083;4;Red;Casier Grand Noir;E;2
4083;4;Blue;Casier Grand Noir;E;2
