LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;8;86;0,06;5;1;;;U;P;3941;;Y;1,2;;EUR;Brick, Round;;Light Bluish Gray;Part;Brick, Round 2 x 2 with Axle Hole;Petit Gris;A;3;2;2;1
;05/01/2022;8;88;0,05;13;1;;;U;P;3941;;Y;1,2;;EUR;Brick, Round;;Reddish Brown;Part;Brick, Round 2 x 2 with Axle Hole;Petit Gris;A;3;2;2;1
;05/01/2022;7;1;0,03;11;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;White;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;2;0,04;1;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Tan;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;3;0,03;3;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Yellow;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;5;0,03;13;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Red;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;7;0,04;2;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Blue;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;9;0,05;9;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Light Gray;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;10;0,05;1;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Dark Gray;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;11;0,05;18;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Black;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;44;0,18;2;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Light Violet;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;85;0,04;8;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Dark Bluish Gray;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;7;86;0,05;4;1;;;U;P;2458;;Y;1,09;;EUR;Brick, Modified;;Light Bluish Gray;Part;Brick, Modified 1 x 2 with Pin;Petit Gris;A;4;0;0;0
;05/01/2022;22;5;0,09;1;1;;;U;P;3315;;Y;1,64;;EUR;Hinge;;Red;Part;Hinge Plate 2 x 4 - Male (Digger Bucket Holder);Petit Gris;A;5;0;0;0
;05/01/2022;22;11;0,22;1;1;;;U;P;3315;;Y;1,64;;EUR;Hinge;;Black;Part;Hinge Plate 2 x 4 - Male (Digger Bucket Holder);Petit Gris;A;5;0;0;0
;05/01/2022;22;11;0,23;1;1;;;U;P;3597;;Y;1,4;;EUR;Hinge;;Black;Part;Hinge Plate 2 x 4 - Female (Digger Bucket Holder);Petit Gris;A;5;0;0;0
;05/01/2022;22;11;0,14;1;1;;;U;P;3639;;Y;1,77;;EUR;Hinge;;Black;Part;Hinge Plate 2 x 4 with Articulated Joint - Male;Petit Gris;A;5;0;0;0
;05/01/2022;22;85;0,06;2;1;;;U;P;3639;;Y;1,77;;EUR;Hinge;;Dark Bluish Gray;Part;Hinge Plate 2 x 4 with Articulated Joint - Male;Petit Gris;A;5;0;0;0
;05/01/2022;22;5;0,16;1;1;;;U;P;3640;;Y;2,12;;EUR;Hinge;;Red;Part;Hinge Plate 2 x 4 with Articulated Joint - Female;Petit Gris;A;5;0;0;0
;05/01/2022;22;9;0,2;1;1;;;U;P;3640;;Y;2,12;;EUR;Hinge;;Light Gray;Part;Hinge Plate 2 x 4 with Articulated Joint - Female;Petit Gris;A;5;0;0;0
;05/01/2022;22;11;0,13;1;1;;;U;P;3640;;Y;2,12;;EUR;Hinge;;Black;Part;Hinge Plate 2 x 4 with Articulated Joint - Female;Petit Gris;A;5;0;0;0
;05/01/2022;22;85;0,06;2;1;;;U;P;3640;;Y;2,12;;EUR;Hinge;;Dark Bluish Gray;Part;Hinge Plate 2 x 4 with Articulated Joint - Female;Petit Gris;A;5;0;0;0
;05/01/2022;22;5;0,56;5;1;;;U;P;3149ac01;;Y;2,75;;EUR;Hinge;;Red;Part;Hinge Plate 2 x 4 without Hole;Petit Gris;A;5;2;5;0
;05/01/2022;22;11;0,79;1;1;;;U;P;3149c01;;Y;2,73;;EUR;Hinge;;Black;Part;Hinge Plate 2 x 4;Petit Gris;A;5;0;0;0
;05/01/2022;40;1;0,09;25;1;;;U;P;3680;;Y;0,4;;EUR;Turntable;;White;Part;Turntable 2 x 2 Plate, Base;Petit Gris;B;1;2;2;0
;05/01/2022;40;3;0,09;31;1;;;U;P;3680;;Y;0,4;;EUR;Turntable;;Yellow;Part;Turntable 2 x 2 Plate, Base;Petit Gris;B;1;2;2;0
;05/01/2022;40;7;0,05;27;1;;;U;P;3680;;Y;0,4;;EUR;Turntable;;Blue;Part;Turntable 2 x 2 Plate, Base;Petit Gris;B;1;2;2;0
;05/01/2022;40;9;2,53;3;1;;;U;P;3680;;Y;0,4;;EUR;Turntable;;Light Gray;Part;Turntable 2 x 2 Plate, Base;Petit Gris;B;1;2;2;0
;05/01/2022;40;11;0,07;44;1;;;U;P;3680;;Y;0,4;;EUR;Turntable;;Black;Part;Turntable 2 x 2 Plate, Base;Petit Gris;B;1;2;2;0
;05/01/2022;27;3;0,05;71;1;;;U;P;3794a;;Y;0,3;;EUR;Plate, Modified;;Yellow;Part;Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper);Petit Gris;B;1;1;2;0
