LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;8;2;0,0669;3;;id3941color2.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Tan;#EED9A4;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;3;0,0483;62;;id3941color3.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;4;0,0524;1;;id3941color4.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Orange;#FF7E14;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;5;0,0477;10;;id3941color5.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;8;0,485;13;;id3941color8.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Brown;#532115;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;9;0,1518;3;;id3941color9.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;11;0,0693;13;;id3941color11.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;34;0,0495;3;;id3941color34.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Lime;#C4E000;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;63;0,0791;4;;id3941color63.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Dark Blue;#243757;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
;;8;85;0,0646;6;;id3941color85.jpg;;U;P;3941;;;1,2;;;Brick, Round;Brick;Round;P;;Dark Bluish Gray;#595D60;Solid;;;;;;;;;;;;;;Part;Brick, Round 2 x 2 with Axle Hole;2;2;1;Casier Petit Gris;A;3;
