LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;133;8;0,17;2;1;;;U;P;6538b;;Y;0,38;;EUR;Technic, Connector;;Brown;Part;Technic, Axle Connector 2L (Ridged with x Hole x Orientation);Grand Noir;A;4;0;0;0
;05/01/2022;133;1;0,09;12;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;White;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;2;0,09;2;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;Tan;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;3;0,04;5;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;Yellow;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;4;0,07;4;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;Orange;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;5;0,06;3;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;Red;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;7;0,08;1;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;Blue;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;11;0,09;40;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;Black;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;66;0,07;1;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;Pearl Light Gray;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;85;0,04;5;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;Dark Bluish Gray;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;88;0,12;2;1;;;U;P;32013;;Y;0,46;;EUR;Technic, Connector;;Reddish Brown;Part;Technic, Axle and Pin Connector Angled #1;Grand Noir;A;5;1;2;0
;05/01/2022;133;4;0,63;2;1;;;U;P;32034;;Y;0,68;;EUR;Technic, Connector;;Orange;Part;Technic, Axle and Pin Connector Angled #2 - 180 degrees;Grand Noir;A;5;0;0;0
;05/01/2022;133;5;0,12;1;1;;;U;P;32034;;Y;0,68;;EUR;Technic, Connector;;Red;Part;Technic, Axle and Pin Connector Angled #2 - 180 degrees;Grand Noir;A;5;0;0;0
;05/01/2022;133;11;0,04;11;1;;;U;P;32034;;Y;0,68;;EUR;Technic, Connector;;Black;Part;Technic, Axle and Pin Connector Angled #2 - 180 degrees;Grand Noir;A;5;0;0;0
;05/01/2022;133;86;0,05;6;1;;;U;P;32034;;Y;0,68;;EUR;Technic, Connector;;Light Bluish Gray;Part;Technic, Axle and Pin Connector Angled #2 - 180 degrees;Grand Noir;A;5;0;0;0
;05/01/2022;133;88;0,3;3;1;;;U;P;32034;;Y;0,68;;EUR;Technic, Connector;;Reddish Brown;Part;Technic, Axle and Pin Connector Angled #2 - 180 degrees;Grand Noir;A;5;0;0;0
;05/01/2022;139;1;0,19;1;1;;;U;P;32138;;Y;0,96;;EUR;Technic, Pin;;White;Part;Technic, Pin Double with Axle Hole;Grand Noir;B;1;0;0;0
;05/01/2022;139;11;0,06;12;1;;;U;P;32138;;Y;0,96;;EUR;Technic, Pin;;Black;Part;Technic, Pin Double with Axle Hole;Grand Noir;B;1;0;0;0
;05/01/2022;139;34;0,4;2;1;;;U;P;32138;;Y;0,96;;EUR;Technic, Pin;;Lime;Part;Technic, Pin Double with Axle Hole;Grand Noir;B;1;0;0;0
;05/01/2022;133;86;0,09;13;1;;;U;P;48989;;Y;1,22;;EUR;Technic, Connector;;Light Bluish Gray;Part;Technic, Pin Connector Perpendicular 3L with 4 Pins;Grand Noir;B;1;3;3;1
;05/01/2022;133;86;0,46;4;1;;;U;P;55615;;Y;1,9;;EUR;Technic, Connector;;Light Bluish Gray;Part;Technic, Pin Connector Perpendicular 3 x 3 Bent with 4 Pins;Grand Noir;B;1;4;4;1
;05/01/2022;116;4;0,01;1;1;;;U;P;3960;;Y;1,33;;EUR;Dish;;Orange;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud;Grand Noir;B;2;4;4;0,67
;05/01/2022;116;9;0,22;1;1;;;U;P;3960;;Y;1,33;;EUR;Dish;;Light Gray;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud;Grand Noir;B;2;4;4;0,67
;05/01/2022;116;11;0,1;1;1;;;U;P;3960;;Y;1,33;;EUR;Dish;;Black;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud;Grand Noir;B;2;4;4;0,67
;05/01/2022;116;23;0,45;1;1;;;U;P;3960;;Y;1,33;;EUR;Dish;;Pink;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud;Grand Noir;B;2;4;4;0,67
;05/01/2022;116;63;0,1;1;1;;;U;P;3960;;Y;1,33;;EUR;Dish;;Dark Blue;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud;Grand Noir;B;2;4;4;0,67
;05/01/2022;116;1;0,06;10;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;White;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;3;0,05;2;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Yellow;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;6;0,08;1;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Green;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;7;0,11;1;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Blue;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;9;0,09;6;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Light Gray;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;10;0,09;4;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Dark Gray;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;11;0,06;3;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Black;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;12;0,07;2;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Trans-Clear;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;13;0,78;1;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Trans-Black;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;14;0,06;8;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Trans-Dark Blue;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;15;0,07;2;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Trans-Light Blue;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;16;0,05;21;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Trans-Neon Green;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;17;0,06;36;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Trans-Red;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;18;0,05;3;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Trans-Neon Orange;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;20;0,17;1;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Trans-Green;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;85;0,11;11;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Dark Bluish Gray;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;86;0,08;7;1;;;U;P;4740;;Y;0,28;;EUR;Dish;;Light Bluish Gray;Part;Dish 2 x 2 Inverted (Radar);Grand Noir;B;2;2;2;0,33
;05/01/2022;116;1;0,1;2;1;;;U;P;43898;;Y;0,86;;EUR;Dish;;White;Part;Dish 3 x 3 Inverted (Radar);Grand Noir;B;2;3;3;0,67
;05/01/2022;116;85;0,08;2;1;;;U;P;43898;;Y;0,86;;EUR;Dish;;Dark Bluish Gray;Part;Dish 3 x 3 Inverted (Radar);Grand Noir;B;2;3;3;0,67
;05/01/2022;779;7;0,24;2;1;;;U;P;3960p02;;Y;1,19;;EUR;Dish, Decorated;;Blue;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud with Black Spiral Pattern;Grand Noir;B;2;4;4;0,67
;05/01/2022;779;1;0,3;2;1;;;U;P;3960p03;;Y;1,19;;EUR;Dish, Decorated;;White;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud with Red Spiral Pattern;Grand Noir;B;2;4;4;0,67
;05/01/2022;779;1;0,45;1;1;;;U;P;3960pb001;;Y;1,19;;EUR;Dish, Decorated;;White;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud with Thick Pink and Thin Light Green Stripes Pattern;Grand Noir;B;2;4;4;0,67
;05/01/2022;779;1;1,39;1;1;;;U;P;3960pb003;;Y;1,19;;EUR;Dish, Decorated;;White;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud with Red Stripes Pattern;Grand Noir;B;2;4;4;0,67
;05/01/2022;779;159;1,84;1;1;;;U;P;3960pb026;;Y;1,3;;EUR;Dish, Decorated;;Glow In Dark White;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud with Black Ghost Face Pattern;Grand Noir;B;2;4;4;0,67
;05/01/2022;779;11;0,15;1;1;;;U;P;3960pb030;;Y;1,19;;EUR;Dish, Decorated;;Black;Part;Dish 4 x 4 Inverted (Radar) with Solid Stud with Yellow Lantern Sinestro Logo Pattern;Grand Noir;B;2;4;4;0,67
