LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;ROW;COLUMN
;;133;11;0,3788;1;;id50898color11.jpg;;U;P;50898;;;2,6;;;Technic, Connector;Technic;Connector;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector 2 x 7 with 2 Ball Joint Sockets, Rounded Ends;2;7;1;Grand Casier BleueuClair;A;5;
;;133;4;0,1933;1;;id50898color4.jpg;;U;P;50898;;;2,6;;;Technic, Connector;Technic;Connector;P;;Orange;##FF7E14;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector 2 x 7 with 2 Ball Joint Sockets, Rounded Ends;2;7;1;Grand Casier BleueuClair;A;5;
;;133;42;0,2575;4;;id50898color42.jpg;;U;P;50898;;;2,6;;;Technic, Connector;Technic;Connector;P;;Medium Blue;##82ADD8;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector 2 x 7 with 2 Ball Joint Sockets, Rounded Ends;2;7;1;Grand Casier BleueuClair;A;5;
;;135;1;0,0569;3;;id92013color1.jpg;;U;P;92013;;;1,98;;;Technic, Brick;Technic;Brick;P;;White;##FFFFFF;Solid;;;;;;;;;;;;;;Part;Technic, Brick Modified 2 x 2 with Ball Socket and Axle Hole - Straight Forks with Round Ends and Open Sides;2;4;1;Grand Casier BleueuClair;A;5;
;;135;11;0,0460;5;;id92013color11.jpg;;U;P;92013;;;1,98;;;Technic, Brick;Technic;Brick;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Brick Modified 2 x 2 with Ball Socket and Axle Hole - Straight Forks with Round Ends and Open Sides;2;4;1;Grand Casier BleueuClair;A;5;
;;135;85;0,0519;5;;id92013color85.jpg;;U;P;92013;;;1,98;;;Technic, Brick;Technic;Brick;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Brick Modified 2 x 2 with Ball Socket and Axle Hole - Straight Forks with Round Ends and Open Sides;2;4;1;Grand Casier BleueuClair;A;5;
;;135;85;0,0864;1;;id17114color85.jpg;;U;P;17114;;;2,34;;;Technic, Brick;Technic;Brick;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Brick Modified 2 x 2 with 2 Ball Joints and Axle Hole;2;5;1;Grand Casier BleueuClair;B;1;
;;133;240;0,0000;1;;Not Available;;U;P;32174;;;1,1;;;Technic, Connector;Technic;Connector;P;;Medium Brown;##A16C42;Solid;;;;;;;;;;;;;;Part;Technic, Axle Connector 2 x 3 with Ball Joint Socket - Open Sides, Angled Forks with Closed Axle Holes;?;?;?;Grand Casier BleueuClair;B;1;
;;133;42;0,0701;3;;id32174color42.jpg;;U;P;32174;;;1,1;;;Technic, Connector;Technic;Connector;P;;Medium Blue;##82ADD8;Solid;;;;;;;;;;;;;;Part;Technic, Axle Connector 2 x 3 with Ball Joint Socket - Open Sides, Angled Forks with Closed Axle Holes;?;?;?;Grand Casier BleueuClair;B;1;
;;133;85;0,0464;5;;id32174color85.jpg;;U;P;32174;;;1,1;;;Technic, Connector;Technic;Connector;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Axle Connector 2 x 3 with Ball Joint Socket - Open Sides, Angled Forks with Closed Axle Holes;?;?;?;Grand Casier BleueuClair;B;1;
;;133;63;0,1455;1;;id47296color63.jpg;;U;P;47296;;;2;;;Technic, Connector;Technic;Connector;P;;Dark Blue;##243757;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector 2 x 5 with 2 Ball Joint Sockets, Open Sides;2;5;1;Grand Casier BleueuClair;B;1;
;;135;85;0,0434;2;;id57908color85.jpg;;U;P;57908;;;2,4;;;Technic, Brick;Technic;Brick;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Brick Modified 2 x 2 with 2 Ball Joints;?;?;?;Grand Casier BleueuClair;B;1;
;;135;85;0,0476;1;;id57909color85.jpg;;U;P;57909;;;1,84;;;Technic, Brick;Technic;Brick;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Brick Modified 2 x 2 with Ball Joint and Axle Hole;2;4;1;Grand Casier BleueuClair;B;1;
;;135;85;0,0361;6;;id57909bcolor85.jpg;;U;P;57909b;;;1,75;;;Technic, Brick;Technic;Brick;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Brick Modified 2 x 2 with Ball Joint and Axle Hole with 6 Holes in Ball;?;?;?;Grand Casier BleueuClair;B;1;
;;133;11;0,0692;4;;id60176color11.jpg;;U;P;60176;;;1;;;Technic, Connector;Technic;Connector;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Axle Connector 2 x 3 with Ball Joint Socket - Closed Sides, Angled Forks with Closed Axle Holes;2;3;1;Grand Casier BleueuClair;B;1;
;;133;85;0,7157;1;;id61053color85.jpg;;U;P;61053;;;2,06;;;Technic, Connector;Technic;Connector;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector 2 x 5 with 2 Ball Joint Sockets, Closed Sides, Closed Axle Holes;?;?;?;Grand Casier BleueuClair;B;1;
;;133;11;0,4681;1;;id89650color11.jpg;;U;P;89650;;;2,06;;;Technic, Connector;Technic;Connector;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Technic, Axle and Pin Connector 2 x 5 with 2 Ball Joint Sockets, Closed Sides, Open Axle Holes;?;?;?;Grand Casier BleueuClair;B;1;
;;86;11;0,1018;2;;id2397color11.jpg;;U;P;2397;;;2,17;;;Animal, Accessory;Animal;Accessory;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Horse Hitching;8;3;0;Grand Casier BleueuClair;B;2;
;;86;3;0,1404;1;;id2397color3.jpg;;U;P;2397;;;2,17;;;Animal, Accessory;Animal;Accessory;P;;Yellow;##FFE001;Solid;;;;;;;;;;;;;;Part;Horse Hitching;8;3;0;Grand Casier BleueuClair;B;2;
;;86;4;0,1109;1;;id2397color4.jpg;;U;P;2397;;;2,17;;;Animal, Accessory;Animal;Accessory;P;;Orange;##FF7E14;Solid;;;;;;;;;;;;;;Part;Horse Hitching;8;3;0;Grand Casier BleueuClair;B;2;
;;86;7;0,1262;3;;id2397color7.jpg;;U;P;2397;;;2,17;;;Animal, Accessory;Animal;Accessory;P;;Blue;##0057A6;Solid;;;;;;;;;;;;;;Part;Horse Hitching;8;3;0;Grand Casier BleueuClair;B;2;
;;105;11;0,1846;4;;id3940acolor11.jpg;;U;P;3940a;;;1,06;;;Support;Support;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Support 2 x 2 x 2 Stand with Blind Hole;2;2;2;Grand Casier BleueuClair;B;2;
;;105;10;0,1604;1;;id3940bcolor10.jpg;;U;P;3940b;;;1;;;Support;Support;;P;;Dark Gray;##6B5A5A;Solid;;;;;;;;;;;;;;Part;Support 2 x 2 x 2 Stand with Complete Hole;2;2;2;Grand Casier BleueuClair;B;2;
;;105;11;0,0824;9;;id3940bcolor11.jpg;;U;P;3940b;;;1;;;Support;Support;;P;;Black;##212121;Solid;;;;;;;;;;;;;;Part;Support 2 x 2 x 2 Stand with Complete Hole;2;2;2;Grand Casier BleueuClair;B;2;
;;105;8;0,2952;1;;id3940bcolor8.jpg;;U;P;3940b;;;1;;;Support;Support;;P;;Brown;##532115;Solid;;;;;;;;;;;;;;Part;Support 2 x 2 x 2 Stand with Complete Hole;2;2;2;Grand Casier BleueuClair;B;2;
;;105;85;0,0862;3;;id3940bcolor85.jpg;;U;P;3940b;;;1;;;Support;Support;;P;;Dark Bluish Gray;##595D60;Solid;;;;;;;;;;;;;;Part;Support 2 x 2 x 2 Stand with Complete Hole;2;2;2;Grand Casier BleueuClair;B;2;
