"Lot ID","Color","Category","Condition","Sub-Condition","Description","Remarks","Price","Quantity","Bulk","Sale","URL","Item No","Tier Qty 1","Tier Price 1","Tier Qty 2","Tier Price 2","Tier Qty 3","Tier Price 3","Reserved For","Stockroom","Retain","Super Lot ID","Super Lot Qty","Weight","Extended Description","Date Added","Date Last Sold","Currency"
"278027863","White","Parts / Plate","Used","","White Plate 6 x 16 Etagere Aubergine A5","","€3.81","1","1","0%","","3027","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","13.27","","1/5/2022","","EUR"
"278027864","Black","Parts / Magnet","Used","","Black Magnet Cylindrical Grand Gris A5","","€3.81","11","1","0%","","73092","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.03","","1/5/2022","","EUR"
"278027865","Metallic Gold","Parts / Container","Used","","Metallic Gold Container, Treasure Chest with Slots in Back and Thick Hinge Curved Lid &#40;4738a / 4739a&#41; Bleue F3","","€3.77","1","1","0%","","4738ac01","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","4","","1/5/2022","","EUR"
"278027866","Black","Parts / Window","Used","","Black Window 1 x 2 x 2 2/3 with Rounded Top Bleue G4","","€3.76","2","1","0%","","30044","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.95","","1/5/2022","","EUR"
"278027867","Black","Parts / Bar","Used","","Black Bar 1 x 8 x 3 Grand Noir E3","","€3.66","2","1","0%","","2583","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","2.04","","1/5/2022","","EUR"
"278027868","Black","Parts / Slope, Decorated","Used","","Black Slope 45 2 x 1 with 3 Red Lamps, 3 Yellow Buttons, Yellow Border Pattern casier bleue clair C4","","€3.61","3","1","0%","","3040p01","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.69","","1/5/2022","","EUR"
"278027869","Green","Parts / Brick","Used","","Green Brick 12 x 24 Etagere Grise A1","","€3.58","4","1","0%","","30072","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","61","","1/5/2022","","EUR"
"278027870","Dark Bluish Gray","Parts / Technic, Connector","Used","","Dark Bluish Gray Technic, Pin Connector Round 2L without Slot &#40;Pin Joiner Round&#41; Orange 1 C6","","€3.52","1","1","0%","","75535","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.38","","1/5/2022","","EUR"
"278027871","White","Parts / Panel","Used","","White Panel 1 x 2 x 3 - Hollow Studs Grand Noir G3","","€3.50","2","1","0%","","2362b","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.3","","1/5/2022","","EUR"
"278027872","Light Bluish Gray","Parts / Ladder","Used","","Light Bluish Gray Ladder 14 x 2.5 with 13 Steps indigo A2","","€3.48","3","1","0%","","4207","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.21","","1/5/2022","","EUR"
"278027873","Black","Parts / Brick","Used","","Black Brick 4 x 18 Etagere Aubergine A4","","€3.47","1","1","0%","","30400","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","17.7","","1/5/2022","","EUR"
"278027874","White","Parts / Plate","Used","","White Plate 2 x 2 Corner Etagere Aubergine A5","","€3.47","38","1","0%","","2420","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.54","","1/5/2022","","EUR"
"278027875","Yellow","Parts / Plate","Used","","Yellow Plate 2 x 2 Corner Etagere Aubergine A5","","€3.47","17","1","0%","","2420","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.54","","1/5/2022","","EUR"
"278027876","Red","Parts / Plate","Used","","Red Plate 2 x 2 Corner Etagere Aubergine A5","","€3.47","19","1","0%","","2420","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.54","","1/5/2022","","EUR"
"278027877","Blue","Parts / Plate","Used","","Blue Plate 2 x 2 Corner Etagere Aubergine A5","","€3.47","3","1","0%","","2420","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.54","","1/5/2022","","EUR"
"278027878","Black","Parts / Plate","Used","","Black Plate 2 x 2 Corner Etagere Aubergine A5","","€3.47","36","1","0%","","2420","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","0.54","","1/5/2022","","EUR"
"278027879","Black","Parts / Plate","Used","","Black Plate 2 x 12 Etagere Aubergine A5","","€3.47","4","1","0%","","2445","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","3.5","","1/5/2022","","EUR"
"278027880","White","Parts / Electric, Light & Sound","Used","","White Electric, Light Brick 1 x 4 with Twin Top Lights Malette Noir A1","","€3.43","1","1","0%","","4771","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.05","","1/5/2022","","EUR"
"278027881","White","Parts / Electric, Light & Sound","Used","","White Electric, Light Brick 1 x 2 with Single Side Light &#40;6034 / 6035&#41; Malette Noir A1","","€3.35","1","1","0%","","6035c01","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","1.4","","1/5/2022","","EUR"
"278027882","Trans-Clear","Parts / Windscreen","Used","","Trans-Clear Windscreen 3 x 10 x 3 black box A1","","€3.34","1","1","0%","","2694","0","€0.00","0","€0.00","0","€0.00","","Yes","No","","","8","","1/5/2022","","EUR"
