LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;;4;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;4;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;5;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;7;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;7;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;85;0,00;1;;Not Available;;U;P;3788;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;11;0,00;1;;Not Available;;U;P;38224;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;38224;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;5;0,00;1;;Not Available;;U;P;38224;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;1;0,00;1;;Not Available;;U;P;41854;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;10;0,00;1;;Not Available;;U;P;41854;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;11;0,00;1;;Not Available;;U;P;41854;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
